⌚	Armbanduhr	Armbanduhr|Uhr|Zeit
🤦	sich an den Kopf fassende Person	fassen|frustriert|genervt|Gesicht|Kopf|oh nein|OMG|Person|unfassbar|unglaublich|verzweifelt
🤧	niesendes Gesicht	erkältet|Erkältung|Gesicht|Gesundheit|Grippe|hatschi|krank|Nase|niesen|putzen|Smiley|Taschentuch
🤨	Gesicht mit hochgezogenen Augenbrauen	argwöhnisch|Augenbrauen|Gesicht|hochgezogen|misstrauen|skeptisch|Smiley|stutzig|Zweifel
🤩	überwältigt	aufgeregt|Augen|Gesicht|grinsen|Smiley|Star|Stern|überwältigt|wow
🤪	irres Gesicht	Auge|Augen|Gesicht|groß|irre|klein|Smiley|verrückt
🤫	ermahnendes Gesicht	ermahnen|Finger|Gesicht|leise|psst|pst|Ruhe|ruhig|sch|Smiley
🤬	Gesicht mit Symbolen über dem Mund	Ärger|ärgern|fluchen|Gesicht|Mund|schimpfen|Schimpfwort|Smiley|Symbole|verdammt|Wut|wütend|Zensur
🤭	verlegen kicherndes Gesicht	Gesicht|haha|Hand|hihi|Huch|kichern|lachen|Mund|rot|Smiley|verlegen|Wangen
🤮	kotzendes Gesicht	brechen|erbrechen|Gesicht|kotzen|krank|schlecht|Smiley|speien|spucken|übel|übergeben
🤯	explodierender Kopf	entsetzt|explodieren|geschockt|Gesicht|Kopf|Schock|schockiert|Smiley|überwältigt|unglaublich
🤰	schwangere Frau	Frau|schwanger|schwangere Frau
🤱	Stillen	Baby|Brust|Frau|Person|stillen|Stillen
🤲	Handflächen nach oben	beten|Gebet|Hand|Hände|nach oben|zusammen
🤳	Selfie	Selfie|Smartphone
🤴	Prinz	Krone|Prinz
🤵	Person im Smoking	Anzug|Bräutigam|formell|Mann|Person|Person im Smoking|Smoking|vornehm
🤶	Weihnachtsfrau	Weihnachten|Weihnachtsfrau
🤷	schulterzuckende Person	egal|gleichgültig|keine Ahnung|Person|Schultern zucken|schulterzuckend|weiß nicht|Zweifel
🤸	Rad schlagende Person	Akrobatik|Bodenturnen|Gymnastik|Person|Rad|Rad schlagen|Rad schlagende Person|Radschlag|Sport|Turner|Turnerin
🤹	Jongleur(in)	Artist|Artistin|geschickt|Jongleur|Jongleur(in)|Jongleurin|Jongleuse|jonglieren|Multitasking|Person|Zirkus
🤺	Fechter(in)	fechten|Fechter|Fechter(in)|Schwert|Sport
🤼	Ringer(in)	Catchen|Catcher|Person|ringen|Ringer|Ringer(in)|Ringkampf|Sport|Sportler|Wrestler|Wrestling
🤽	Wasserballspieler(in)	Person|Schwimmsport|Sport|Sportler|Sportlerin|Wasser|Wasserball|Wasserballspieler|Wasserballspieler(in)|Wasserballspielerin|Wassersport
🤾	Handballspieler(in)	Handball|Handballer|Handballerin|Handballspieler|Handballspieler(in)|Handballspielerin|Person|schleudern|Sport|Sportler|werfen
🤿	Tauchmaske	schnorcheln|schwimmen|Sport|Sporttauchen|tauchen|Tauchmaske
🥀	welke Blume	am sterben|Blume|sterbend|verwelkt|welk|welke Blume|welkende Blume
🥁	Trommel	Drumsticks|Instrument|Musik|Schlägel|Sticks|Trommel|Trommelstöcke
🥂	Sektgläser	anstoßen|Feier|feiern|Getränk|Gläser|prost|Sekt|Sektgläser
🥃	Trinkglas	Bar|Schnaps|Trinkglas|Whiskey
🥄	Löffel	Besteck|Löffel
🥅	Tor	Fußball|Netz|Sport|Tor
🥇	Goldmedaille	Erster|Gewinn|Goldmedaille|Medaille 1. Platz
🥈	Silbermedaille	Medaille 2. Platz|Silbermedaille|Zweiter
🥉	Bronzemedaille	Bronzemedaille|Dritter|Medaille 3. Platz
🥊	Boxhandschuh	Boxen|Boxhandschuh|Handschuh|Sport
🥋	Kampfsportanzug	Judo|Kampfkunst|Kampfsport|Kampfsportanzug|Karate|Taekwondo
🥌	Curlingstein	Curlingstein|Spiel|Sport|Stein
🥍	Lacrosse	Ball|Lacrosse|Schläger|Sport|Stick|Stock|Tor
🥎	Softball	Ball|Baseball|Handschuh|Softball|Sport|Unterarm|werfen
🥏	Frisbee	Disc|Disk|fliegende Untertasse|Frisbee|Scheibe|Ultimate
🥐	Croissant	Corissant|Croissant|französisch|Frühstück|Frühstückshörnchen
🥑	Avocado	Avocado|Essen|Frucht
🥒	Gurke	Essen|Gemüse|Gurke|Scheiben
🥓	Bacon	Bacon|Essen|Frühstücksspeck|Speck|Speckstreifen
🥔	Kartoffel	Essen|Gemüse|Kartoffel
🥕	Karotte	Gemüse|Karotte|Möhre|Mohrrübe
🥖	Baguette	Baguette|Brot|französisch|Frühstück
🥗	Salat	Blattgemüse|Essen|gesund|grün|Salat
🥘	Pfannengericht	Essen|Paella|Pfannengericht|Reispfanne
🥙	Döner	Döner|Döner Kebab|Falafel|Wrap
🥚	Ei	Ei|Frühstück|Frühstücksei
🥛	Glas Milch	Getränk|Glas|Milch|trinken
🥜	Erdnuss	Erdnuss|Essen
🥝	Kiwi	Frucht|Kiwi|Obst
🥞	Pfannkuchen	Crepe|Eierpfannkuchen|Essen|Pfannkuchen
🥟	Teigtasche	chinesische Teigtasche|dumpling|empanada|Empanada|essen|Gyōza|Jiaozi|kloß|Pierogi|potsticker|Teigtasche
🥠	Glückskeks	essen|Glückskeks|Prophezeiung
🥡	Takeaway-Schachtel	chinesisches essen|essen|stäbchen|Takeaway-Box|Takeaway-Schachtel
🥢	Essstäbchen	chinesisches essen|essen|Essstäbchen|Hashi|japanisches essen|stäbchen|Stäbchen
🥣	Schüssel mit Löffel	brei|Cerealien|essen|Frühstück|haferbrei|Reisbrei|schüssel|Schüssel mit Löffel|suppe
🥤	Becher mit Strohhalm	becher|Becher mit Strohhalm|brause|erfrischung|Saft|Selters|soda|strohhalm|trinken|trinkhalm|wasser
🥥	Kokosnuss	Colada|Essen|Frucht|Kokosnuss|Palme|Piña
🥦	Brokkoli	Broccoli|Brokkoli|essen|Gemüse|Gemüsekohl|Kohl
🥧	Kuchen	Essen|Füllung|Gebäck|Kuchen|Pastete|Torte
🥨	Brezel	brezel|Brezel|brezen|brezn|essen|gedreht|oktoberfest
🥩	Fleischstück	essen|Fleisch|Fleischstück|Kotelett|Lammkotelett|rot|Schnitzel|Schweinekotelett|Steak
🥪	Sandwich	brot|Brot|essen|sandwich|Sandwich
🥫	Konserve	Büchse|Dose|essen|Konserve
🥬	Blattgemüse	Blattgemüse|blattgrün|Essen|Gemüse|Grünkohl|Grünzeug|Kohl|Kraut|Mangold|Pak Choi|Pok Choi|Salat|Salatblatt|Spinat
🥭	Mango	Essen|Frucht|Früchte|Mango|Obst|Shaker|tropisch
🥮	Mondkuchen	Essen|Fest|Festival|Herbst|Kuchen|Mondfest|Mondkuchen|Pinyin|Yuebing
🥯	Bagel	Bäckerei|Backwaren|Bagel|Brötchen|Essen|Frühstück|Pausenbrot
🥰	lächelndes Gesicht mit Herzen	3|anhimmeln|bewundern|Gesicht|HDGDL|HDL|Herzchen|Herzen|lächeln|lieb|Liebe|Smiley|verknallt|verliebt|verzückt
🥱	gähnendes Gesicht	gähnen|gähnend|gelangweilt|Gesicht|langweilig|müde|öde|schnarch|Smiley|zzz
🥲	lachendes Gesicht mit Träne	berührt|dankbar|erleichtert|Freudenträne|gerührt|Gesicht|lächeln|Smiley|stolz|Träne
🥳	Partygesicht	aufgeregt|Feier|Fest|fröhlich|Geburtstag|Gesicht|Glückwunsch|Hurra|Hut|Party|Smiley|Überraschung
🥴	schwindeliges Gesicht	angeheitert|angeschwipst|angetrunken|benebelt|berauscht|beschwipst|betrunken|gewellt|Mund|schwindelig|schwindlig|Smiley
🥵	schwitzendes Gesicht	erhitzt|Fieber|fiebrig|Gesicht|heiß|herausstrecken|Hitze|Hitzschlag|rot|schnaufen|schwitzen|Smiley|Zunge
🥶	frierendes Gesicht	bibbern|blau|eisig|erfrieren|frieren|frösteln|frostig|Gesicht|kalt|Smiley|unter Null|Zähne|Zähneklappern|zittern
🥷	Ninja	Ausdauer|Geheimmission|Kämpfer|Killer|Krieger|Kunoichi|Mörder|Ninja|Person|Shinobi|Soldat|vermummt
🥸	verkleidet	Brille|Gesicht|incognito|inkognito|Maske|Nase|Nasenbrille|Person|Smiley|spionieren|verdeckt|verkleidet|Verkleidung
🥹	Gesicht, das Tränen zurückhält	aufgebracht|dankbar|Freude|Freudentränen|gerührt|Gesicht|Rührung|Smiley|stolz|Tränen|weinen|zurückhalten
🥺	bettelndes Gesicht	anflehen|Augen|betteln|bettelnd|bitte|bitten|flehend|Gesicht|groß|Kulleraugen|Smiley|traurig|Welpenaugen
🥻	Sari	Kleid|Kleidung|Sari
🥼	Laborkittel	Arzt|Arztkittel|Doc|Doktor|Experiment|Kleidung|Kleidungsstück|Laborkittel|Labormantel|weiße Jacke|weißer Mantel|Wissenschaftler
🥽	Schutzbrille	Augenschutz|Brille|Schutzbrille|schweißen|Schweißen|Schweißerbrille|schwimmen|Schwimmen|tauchen|Taucherbrille
🥾	Wanderstiefel	brauner Schuh|campen|Camping|Kleidungsstück|Outdoor|Rucksacktour|Schuh|Stiefel|Wandern|Wanderstiefel|Wanderung
🥿	flacher Schuh	Ballerina|Ballet-Pumps|bequem|flacher Schuh|Frauenschuh|Kleidungsstück|Schuh|Slipper
🦀	Krebs	Krabbe|Krebs|Meer|Sternzeichen|Strand|Tierkreis
🦁	Löwe	Gesicht|Löwe|Löwengesicht|Sternzeichen|Tier|Tierkreis
🦂	Skorpion	Horoskop|Skorpion|Sternzeichen|Tierkreis
🦃	Truthahn	Geflügel|Pute|Thanksgiving|Truthahn
🦄	Einhorn	Einhorn|Einhorngesicht|Gesicht
🦅	Adler	Adler|Tier|Vogel
🦆	Ente	Ente|Tier|Vogel
🦇	Fledermaus	Fledermaus|Tier|Vampir
🦈	Hai	Fisch|Hai|Haifisch|Meer|Tier
🦉	Eule	Eule|Raubvogel|Tier|Uhu|Vogel|weise
🦊	Fuchs	Fuchs|Fuchsgesicht|Gesicht|Tier
🦋	Schmetterling	Insekt|Schmetterling|schön
🦌	Hirsch	Gesicht|Hirsch|Tier
🦍	Gorilla	Affe|Gesicht|Gorilla|Tier
🦎	Eidechse	Eidechse|Reptil
🦏	Nashorn	Nashorn|Rhinozeros|Tier
🦐	Garnele	Garnele|Gourmet|Krustentier|Meeresfrucht|Shrimp
🦑	Tintenfisch	Kalmar|Tier|Tintenfisch
🦒	Giraffe	flecken|Flecken|giraffe|Giraffe|tier
🦓	Zebra	streifen|Streifen|tier|zebra|Zebra
🦔	Igel	igel|Igel|stachelig|stacheln|tier
🦕	Sauropode	Brachiosaurus|Brontosaurus|Dino|Dinosaurier|Diplodocus|Saurier|Sauropode
🦖	T-Rex	Dino|dinosaurier|Dinosaurier|saurier|Saurier|t-rex|T-Rex|tree|Tyrannosaurus Rex
🦗	Grille	grashüpfer|grille|Grille|Heuschrecke|insekt|tier|zikade
🦘	Känguru	Australien|Beuteltier|Down Under|hüpfen|Hüpfen|Känguru|Quokka|Skippy|springen|Tier|Wallaby
🦙	Lama	Alpaca|Alpaka|Anden|Kamel|Lama|Tier|Vicuña|Wolle
🦚	Pfau	bunt|Pfau|stolz|stolzieren|Tier|Vogel
🦛	Nilpferd	Flusspferd|Hippo|Nilpferd|Tier
🦜	Papagei	ausplaudern|Papagei|Pirat|plappern|sprechen|Tier|Vogel|Wiederholen
🦝	Waschbär	klug|neugierig|schlau|Tier|Waschbär
🦞	Hummer	Hummer|Lobster|Meeresfrucht|Meeresfrüchte|Meerestier|Scheren|Tier
🦟	Mücke	Biss|Fieber|Insekt|Insektenbiss|Insektenstich|Krankheit|Malaria|Moskito|Mücke|Schnake|Stechmücke|Stich|Tier|Virus
🦠	Mikrobe	Amöbe|Amöben|Bakterie|Bakterien|Einzeller|Medizin|Mikrobe|Virus|Wissenschaft
🦡	Dachs	Dachs|Dachse|Frechdachs|Honigdachs|Ratel|Tier
🦢	Schwan	hässliches Entlein|Schwan|Tier|Vogel
🦣	Mammut	Aussterben|groß|Mammut|Natur|Stoßzahn|Tier|wollig
🦤	Dodo	Aussterben|Dodo|Dronte|groß|Mauritius|Natur|Tier|Vogel
🦥	Faultier	faul|Faultier|langsam|Tier|träge
🦦	Otter	fischen|Otter|Tier|verspielt
🦧	Orang-Utan	Affe|Orang-Utan|Tier
🦨	Stinktier	Skunk|stinken|Stinktier|Tier
🦩	Flamingo	bunt|farbenfroh|Flamingo|rosa|Tier|Tropen|tropisch|Vogel
🦪	Auster	Auster|Meer|Muschel|Perle|tauchen|Tier
🦫	Biber	Biber|Biberschwanz|Biberzahn|Damm|Natur|Otter|Tier
🦬	Bison	Bison|Büffel|Herde|Ochse|Tier|Wisent
🦭	Seehund	Meer|Ozean|Robbe|Seehund|Seelöwe|Tier
🦮	Blindenhund	Barrierefreiheit|Behinderung|blind|Blindenhund|Hund|sehbehindert|Tier
🦯	Blindenstock	Barrierefreiheit|Behinderung|blind|Blindenstock|Gehstock
🦴	Knochen	Hund|Hundeknochen|Kauknochen|Knochen|Skelett
🦵	Bein	Bein|Extremität|Fuß|gebeugtes Knie|Gliedmaße|Knie|Körperglied|Körperteil|Treten|Tritt
🦶	Fuß	Fuß|Füße|Kick|Knöchel|Körperteil|stampfen|treten|Tritt
🦷	Zahn	perlweiß|weiß|Zahn|Zahnarzt|Zahnärztin|Zähne
🦸	Superheld(in)	Held|Person|Superheld|Superheld(in)|Superheldin|Superkraft|Superkräfte|Superman|Übermensch|Umhang
🦹	Bösewicht	böse|Bösewicht|Bösewichtin|Krimineller|Person|Schurke|Schurkin|Superkräfte|Superschurke|Superschurkin|Verbrecher
🦺	Sicherheitsweste	Kleidung|Notfall|Sicherheit|Sicherheitsweste|Weste
🦻	Ohr mit Hörgerät	Barrierefreiheit|gehörlos|Hilfsgerät|Hörgerät|Hörhilfe|Ohr|schwerhörig|taub
🦼	elektrischer Rollstuhl	Barrierefreiheit|Behinderung|elektrischer Rollstuhl|Rollstuhl
🦽	manueller Rollstuhl	Barrierefreiheit|Behinderung|manueller Rollstuhl|Rollstuhl
🦾	Armprothese	Arm|Armprothese|Barrierefreiheit|Prothese
🦿	Beinprothese	Barrierefreiheit|Bein|Beinprothese|Prothese
🧀	Käsestück	Käse|Käsestück
🧁	Cupcake	Bäckerei|Cupcake|Dessert|Essen|Gebäck|Kalorienbombe|Konditorei|Muffin|Nachspeise|Streusel|süß|Zucker
🧂	Salz	gesalzen|Geschmack|Gewürz|Salz|salzig|Salzstreuer|Würze|Zutat
🧃	Trinkpäckchen	Fruchtsaft|Getränk|Obstsaft|Saft|Saftpackung|Trinkpäckchen
🧄	Knoblauch	Essen|Geschmack|Knoblauch|Lebensmittel|Nahrung|Würze|Zutat
🧅	Zwiebel	Essen|Geschmack|Gewürz|Lebensmittel|Nahrung|Würze|Zwiebel
🧆	Falafel	Bällchen|Essen|Falafel|Fleischbällchen|Kichererbsen|Lebensmittel|Nahrung
🧇	Waffel	Essen|Lebensmittel|Nahrung|Waffel|Waffel mit Butter
🧈	Butter	Butter|Essen|Lebensmittel|Milchprodukt|Nahrung
🧉	Mate-Tee	Getränk|Mate-Tee|Tee
🧊	Eiswürfel	Eisberg|Eiswürfel|gefroren|kalt|kühlen|Würfel
🧋	Bubble Tea	Blase|Bubble Tea|Essen|Getränk|Lebensmittel|Milch|Perle|Taiwan|Tee
🧌	Troll	Fantasy|gruslig|Kobold|Märchen|Monster|Ork|Troll|Ungeheuer
🧍	stehende Person	Mensch|Person|Stand|stehen|stehende Person
🧎	kniende Person	Fersensitz|knien|kniend|kniende Person|Meditation|meditieren|Mensch|Person|Seiza|Zazen
🧏	gehörlose Person	Barrierefreiheit|gehörlos|hören|Ohr|Person|schwerhörig|taub
🧐	Gesicht mit Monokel	elegant|Gesicht|Monokel|reich|Smiley
🧑	Person	erwachsen|erwachsene Person|Mensch|Person
🧑‍🌾	Bauer/Bäuerin	Bauer/Bäuerin|Farmer(in)|Gärtner(in)|Landwirt(in)
🧑‍🍳	Koch/Köchin	Koch/Köchin|Kochen
🧑‍🍼	Person, die Baby die Flasche gibt	Baby|Flasche geben|Flasche gebende Person|Person
🧑‍🎄	Weihnachtsperson	Gesicht|Gesicht mit Hut|Person|Santa Claus|Weihnachten|Weihnachtsfrau|Weihnachtshut|Weihnachtsmann|Weihnachtsmütze|Weihnachtsperson
🧑‍🎓	Student(in)	Absolvent(in)|Doktorhut|Student(in)|Uni
🧑‍🎤	Sänger(in)	Entertainer(in)|Rock|Sänger(in)|Star
🧑‍🎨	Künstler(in)	Farbpalette|Künstler(in)|Maler(in)
🧑‍🏫	Lehrer(in)	Dozent(in)|Lehrer(in)|Professor(in)
🧑‍🏭	Fabrikarbeiter(in)	Arbeiter(in)|Fabrik|Fabrikarbeiter(in)|industriell|Montage
🧑‍💻	IT-Experte/IT-Expertin	Bildschirm|Computer|Entwickler(in)|IT-Experte/IT-Expertin
🧑‍💼	Büroangestellte(r)	Architekt(in)|Büroangestellte(r)|Business|Manager(in)|Schlips und Kragen
🧑‍🔧	Mechaniker(in)	Elektriker(in)|Klempner(in)|Mechaniker(in)
🧑‍🔬	Wissenschaftler(in)	Forscher(in)|Labor|Wissenschaftler(in)
🧑‍🚀	Astronaut(in)	Astronaut(in)|Raumfahrt|Weltraum
🧑‍🚒	Feuerwehrmann/-frau	Feuerwehrhelm|Feuerwehrmann/-frau
🧑‍🤝‍🧑	sich an den Händen haltende Personen	Händchen halten|Hände|Hände halten|Menschen|Paar|Pärchen|Personen|sich an den Händen haltende Personen
🧑‍🦯	Person mit Langstock	Barrierefreiheit|blind|Person mit Blindenstock|Person mit Langstock
🧑‍🦼	Person in elektrischem Rollstuhl	Barrierefreiheit|Person in elektrischem Rollstuhl|Rollstuhl
🧑‍🦽	Person in manuellem Rollstuhl	Barrierefreiheit|Person in manuellem Rollstuhl|Rollstuhl
🧑‍🧑‍🧒	Familie: 2 Erwachsene, 1 Kind	Erwachsene|Erwachsener|Familie|Kind
🧑‍🧑‍🧒‍🧒	Familie: 2 Erwachsene, 2 Kinder	Erwachsene|Erwachsener|Familie|Kind
🧑‍🧒	Familie: 1 Erwachsene(r), 1 Kind	Erwachsene|Erwachsener|Familie|Kind
🧑‍🧒‍🧒	Familie: 1 Erwachsene(r), 2 Kinder	Erwachsene|Erwachsener|Familie|Kind
🧒	Kind	Enkelkind|jung|jünger|Kind|munter|strahlend
🧓	ältere Person	alt|älter|erwachsen|Großeltern|Mensch|Person|weise
🧔	Person: Bart	Bart|bärtig|Person|Schnurrbart
🧕	Frau mit Kopftuch	Frau|Frau mit Kopftuch|Hidschab|Hijab|Kopftuch|Mantilla|Person|Tichel|Tuch
🧖	Person in Dampfsauna	abschalten|Dampfbad|Dampfsauna|entspannen|Frau|luxuriös|Person|Person in Dampfsauna|Relaxen|Sauna|Spa
🧗	Bergsteiger(in)	Bergsteiger|Bergsteiger(in)|Fels|Kletterer|klettern|Person|Sport
🧘	Person im Lotossitz	burmesischer Sitz|Frau|Lotussitz|Meditation|Person|Person im Lotossitz|Person in Lotussitz|Schneidersitz|Yoga|Zen
🧙	Magier(in)	Hexe|Hexenmeister|Magier|Magier(in)|Magiker|Person|Zauberer|Zauberin|zaubern|Zauberspruch|Zauberstab
🧚	Märchenfee	Elf|Elfe|Fantasy|Fee|Flügel|geflügelt|Märchen|Märchenfee|mystisch|Person|Wesen
🧛	Vampir	Blutsauger|Dracula|Halloween|Person|Reißzähne|untot|Untoter|Vampir|Zähne
🧜	Wassermensch	Märchen|Meerjungfrau|Meermann|Nixe|Person|Sirene|Wasserfrau|Wassermann|Wassermensch
🧝	Elf(e)	Elbe|Elben|Elbin|Elf|Elf(e)|Elfe|Fantasy|Herr der Ringe|Magie|magisch|Person
🧞	Flaschengeist	Aladdin|Aladin|Dschinn|Flaschengeist|Lampe|Person|Wunderlampe|Wünsche
🧟	Zombie	Apokalypse|Halloween|Horror|Person|untot|Untoter|Walking Dead|wandelnder Toter|Zombie
🧠	Gehirn	Gehirn|Hirn|intelligent|Intelligenz|klug|schlau
🧡	oranges Herz	Herz|Liebe|orange
🧢	Baseballmütze	Baseball|Baseball-Kappe|Baseball-mütze|Baseballkappe|Baseballmütze|Mütze|Schirmkappe
🧣	Schal	Hals|kalt|Kleidung|Schal|warm anziehen
🧤	Handschuhe	Hand|Handschuh|Handschuhe
🧥	Mantel	brr|Jacke|kalt|Kleidung|Mantel|warm anziehen
🧦	Socken	socken|Socken|strumpf|strümpfe|Strümpfe
🧧	roter Umschlag	Geld|Geschenk|Glück|Hong Bao|Hongbao|roter Umschlag
🧨	Feuerwerkskörper	Dynamit|Explosion|explosiv|Feuer|Feuerwerk|Feuerwerkskörper|Funken|Knall|knallen|Knaller|Kracher|Silvester|sprengen|Sprengstoff|Zündstoff
🧩	Puzzleteil	Bestandteile|Hinweise|Hobby|passen|puzzeln|Puzzle|Puzzlestück|Puzzleteil|Puzzleteile|Spiel|Teile|zusammenpassen|zusammensetzen
🧪	Reagenzglas	Chemie|Chemikalie|Chemiker|Experiment|Labor|Reagenzglas|Substanz|Versuche|Wissenschaft
🧫	Petrischale	Bakterien|Bakterienkultur|Biologe|Biologie|Biologin|Kultur|Labor|Petrischale|Pipette|Probe
🧬	DNA	Biologe|Biologie|Biologin|DNA|DNS|Evolution|Gen|Genetik|Genmanipulation|Leben
🧭	Kompass	Himmelsrichtung|Kompass|magnetisch|Navigation|Orientierung|Richtung|Windrose
🧮	Abakus	Abaki|Abakus|Abakusse|Berechnung|Kalkulation|Mathe|Mathematik|Rechenhilfe|Rechenrahmen|Rechenschieber|Rechnen|zählen|Zählrahmen
🧯	Feuerlöscher	Feuer|Feuerlöscher|löschen
🧰	Werkzeugkasten	Box|Handkasten|Kasten|Kiste|Mechaniker|rote Kiste|Werkzeug|Werkzeugkasten|Werkzeugkiste|Werkzeugkoffer
🧱	Ziegelstein	bauen|Grenze|Klinker|Mauer|Mauerwerk|Mörtel|Wand|Ziegel|Ziegelstein|Ziegelsteine|zugemauert
🧲	Magnet	Anziehung|Anziehungskraft|Hufeisen|Magnet|magnetisch|Pole|positiv negativ|U-Form
🧳	Gepäck	Ballast|Gepäck|Hartschalenkoffer|Koffer|Reise|Trolley-Tasche
🧴	Creme	Creme|Feuchtigkeitscreme|Feuchtigkeitsmilch|Haarwaschmittel|Körpercreme|Lotion|Nachtcreme|Shampoo|Sonnencreme
🧵	Faden	Faden|Nadel|nähen|Nähen|Nähfaden|Nähgarn|Rolle|Spule|Zwirn
🧶	Wollknäuel	Ball|Garn|häkeln|Häkeln|spinnen|stricken|Stricken|Wolle|Wollknäuel|Zwirn
🧷	Sicherheitsnadel	Punk|Sicherheitsnadel|Windel
🧸	Teddybär	Bär|Kuscheltier|Plüschteddy|Plüschtier|Spielwaren|Spielzeug|Stoffbär|Stofftier|Teddy|Teddybär
🧹	Besen	Besen|fegen|Fegen|Hexe|Hexenbesen|kehren|Kehren|reinigen|sauber machen|säubern
🧺	Korb	Bauernhof|Korb|Landwirtschaft|Picknick|Tragekorb|Wäsche|Wäschekorb
🧻	Küchenrolle	Hygiene|Klopapier|Küchenrolle|Papierrolle|Papiertücher|Toilette|Toilettenpapier|WC|WC-Papier
🧼	Seife	baden|Baden|putzen|reinigen|Riegel|sauber|sauber machen|säubern|Schaum|schäumen|Seife|Seifenschale|Seifenstück
🧽	Schwamm	absorbieren|aufsaugen|löchrig|porös|putzen|Putzmittel|reinigen|sauber machen|Schaum|schäumen|Schwamm
🧾	Beleg	Abrechnung|Aufstellung|Beleg|Blatt|Buchhalter|Buchhaltung|Quittung|Rechnung|Rechnungswesen|Schriftstück
🧿	Nazar-Amulett	Amulett|blau|böser Blick|Glasperle|Glücksbringer|Kügelchen|Nazar|Nazar-Amulett|Perle|Talisman
🩰	Ballettschuhe	Ballett|Ballettschuhe|Kleidung|Schuhe|Tanz
🩱	einteiliger Badeanzug	Badeanzug|einteiliger Badeanzug|Kleidung
🩲	Slip	Badeanzug|Einteiler|Kleidung|Slip|Unterwäsche
🩳	Shorts	Badebekleidung|Badehose|Boxershorts|Kleidung|Schwimmshorts|Shorts
🩴	Zehensandale	Badelatschen|Flipflops|Latschen|Sandalen|Schuh|Strandschuh|Zehensandale|Zehensandalen
🩵	hellblaues Herz	aquamarin|Emotion|gefallen|gefällt|Gefühl|hdl|hellblau|Herz|Liebe|mag|mögen|niedlich|süß|türkis|zyan
🩶	graues Herz	Emotion|grau|graues Herz|hdl|Herz|Liebe|schieferfarben|silber|silberfarben
🩷	pinkes Herz	gefallen|gefällt|Gefühl|Herz|Liebe|mag|mögen|niedlich|pink|rosa|süß|verliebt
🩸	Blutstropfen	Blutspende|Blutstropfen|Flüssigkeit|Medizin|Menstruation
🩹	Heftpflaster	Heftpflaster|Pflaster|verletzt|Wunde
🩺	Stethoskop	abhören|Arzt|Doktor|Herz|Herzschlag|Medizin|Stethoskop|Untersuchung
🩻	Röntgenbild	durchleuchten|Knochen|Medizin|Radiologie|Rippen|Röntgen|Röntgenbild|Röntgenstrahlen|Skelett
🩼	Krücke	Behinderung|Beinverletzung|Fußverletzung|Gehhilfe|Gehstütze|Hilfe|Krücke|Schmerzen|Stock|verletzt|Verletzung
🪀	Jo-Jo	Jo-Jo|Spielzeug|Yo-Yo
🪁	Drachen	Drachen|fliegen|hochfliegen|steigen|Wind
🪂	Fallschirm	Fallschirm|Fallschirmspringen|Paragliding|Skydiving|Sport
🪃	Bumerang	Aborigines|Australien|Boomerang|Bumerang|Schleuder|Waffe|werfen
🪄	Zauberstab	Abrakadabra|Hexe|Hexer|Magie|magisch|Wunder|Zauberei|Zauberer|Zauberin|zaubern|Zauberstab
🪅	Piñata	Feier|Hau drauf|mexikanisch|Mexiko|Objekt|Party|Pinada|Pinata|Piñata|süß|Süßigkeiten
🪆	Matroschka	Babuschka|Matrioschka|Matrjoschka|Matroschka|Puppe|Russland|Spielzeug
🪇	Maracas	Cha-Cha-Cha|Instrument|Maracas|Musik|Musikinstrument|musizieren|Party|Percussion|Rassel|rasseln|Tanz|tanzen
🪈	Flöte	Band|Blaskapelle|Flöte|Holzblasinstrument|Instrument|Musik|Musikinstrument|musizieren|Orchester|Spielmannszug
🪉	Harfe	Amor|Cupido|Harfe|Instrument|Liebe|Musik|Orchester
🪏	Schaufel	graben|Loch|Schaufel|Schippe|Spaten
🪐	Ringplanet	Gasplanet|Himmelskörper|Planet|Ringplanet|Saturn
🪑	Stuhl	Holzstuhl|Möbel|sitzen|Stuhl
🪒	Rasierer	Klinge|rasieren|Rasierer|Rasiermesser|scharf
🪓	Axt	Axt|Beil|hacken|Holz|spalten|Werkzeug
🪔	Öllampe	Diya|Lampe|Öl|Öllampe
🪕	Banjo	Banjo|Instrument|Musik|Saiteninstrument|Zupfinstrument
🪖	Militärhelm	Armee|Heer|Helm|Kämpfer|Kämpferin|Krieg|Militär|Militärhelm|Schutzhelm|Soldat|Soldatin
🪗	Akkordeon	Akkordeon|Akkordeons|Concertina|Harmonika|Instrument|Musik|Musikinstrument|Quetschkommode|Quetschkommoden|Schifferklavier|spielen|Ziehharmonika|Ziehharmonikas
🪘	afrikanische Trommel	afrikanische Trommel|Conga|Handtrommel|Instrument|Musikinstrument|Rhythmus|Trommel|trommeln
🪙	Münze	bezahlen|Dollar|Euro|Geld|Gold|Goldesel|Metall|Münze|reich|Schatz|Silber|sparen
🪚	Handsäge	Handsäge|Holz|Säge|sägen|Tischler|trimmen|Werkzeug
🪛	Schraubenzieher	Schraube|schrauben|Schraubendreher|Schraubenzieher|Werkzeug
🪜	Leiter	hochsteigen|Holzleiter|klettern|Leiter|Sprosse|Stufe
🪝	Haken	Angelhaken|aufhaken|aufhängen|einhaken|Haken|hängen|Metallhaken
🪞	Spiegel	Holzspiegel|Reflexion|Spiegel|Spiegelbild|Wandspiegel
