⌚	montre	heure|montre
🧏	personne sourde	accessibilité|entendre|malentendant|oreille|personne sourde|sourd|surdité
🧐	visage avec un monocle	classe|collet monté|fortune|monocle|riche|tête avec monocle|vieux jeu|visage avec un monocle
🧑	adulte	adulte|genre neutre|non-genré
🧑‍🌾	fermier (tous genres)	fermier|fermier (tous genres)|fermière|jardinier|jardinière
🧑‍🍳	cuisinier (tous genres)	chef|cuisinier|cuisinier (tous genres)|cuisinière
🧑‍🍼	personne allaitant un bébé	allaitement|bébé|biberon|homme|maman|mère|nounou|nouveau-né|papa|père|personne|personne allaitant un bébé
🧑‍🎄	santa	joyeux Noël|noël|Noël|Papa Noël|Père Noël|personne|Saint-Nicolas|Santa
🧑‍🎓	étudiant (tous genres)	diplôme|étudiant|étudiant (tous genres)|étudiante
🧑‍🎤	chanteur (tous genres)	artiste|chanteur|chanteur (tous genres)|chanteuse|rock|star
🧑‍🎨	artiste	artiste|palette
🧑‍🏫	personnel enseignant	enseignant|enseignante|formateur|formatrice|personnel enseignant|professeur
🧑‍🏭	ouvrier (tous genres)	assemblage|industrie|ouvrier|ouvrier (tous genres)|ouvrière|usine
🧑‍💻	informaticien (tous genres)	développeur|développeuse|informaticien|informaticien (tous genres)|informaticienne|logiciels|technologie
🧑‍💼	employé de bureau (tous genres)	affaires|architecte|bureau|employé de bureau|employé de bureau (tous genres)|employée de bureau
🧑‍🔧	mécanicien (tous genres)	artisan|électricien|électricienne|mécanicien|mécanicien (tous genres)|mécanicienne|plombier
🧑‍🔬	scientifique	chimiste|scientifique
🧑‍🚀	astronaute	astronaute|fusée
🧑‍🚒	pompier	camion de pompiers|pompier
🧑‍🤝‍🧑	deux personnes se tenant la main	couple|couple homosexuel|deux personnes se tenant la main|gay|main|personne|personnes se tenant par la main|poignée de main|tenir la main
🧑‍🦯	personne avec une canne blanche	accessibilité|aveugle|personne avec une canne blanche
🧑‍🦼	personne en fauteuil motorisé	accessibilité|fauteuil roulant|personne en fauteuil motorisé
🧑‍🦽	personne en fauteuil roulant manuel	accessibilité|fauteuil roulant|personne en fauteuil roulant manuel
🧑‍🧑‍🧒	famille : adulte, adulte, enfant	adulte|enfant|famille : adulte|famille : adulte, adulte, enfant
🧑‍🧑‍🧒‍🧒	famille : adulte, adulte, enfant, enfant	adulte|enfant|famille : adulte|famille : adulte, adulte, enfant, enfant
🧑‍🧒	famille : adulte, enfant	enfant|famille : adulte|famille : adulte, enfant|famille monoparentale
🧑‍🧒‍🧒	famille : adulte, enfant, enfant	enfant|famille : adulte|famille : adulte, enfant, enfant|famille monoparentale
🧒	enfant	enfant|genre neutre|jeune|non-genré
🧓	personne âgée	adulte|âgé|genre neutre|non-genré|personne âgée
🧔	personne barbue	barbe|barbu|personne avec une barbe|personne barbue
🧕	femme avec foulard	bandana|femme avec foulard|femme avec un voile|foulard|hijab|mantilla|tichel|voile
🧖	personne au hammam	bien-être|chaud|détente|hammam|personne au hammam|personne dans un sauna|relaxation|sauna|spa|vapeur
🧗	personne qui grimpe	alpiniste|escalader|grimper|grimpeur|montagne|personne qui escalade|personne qui grimpe|sport
