⌚	montre	heure|montre
👙	bikini	bikini|maillot de bain|nager|piscine|plage|vêtements
👚	vêtements de femme	chemise|chemisier|courses|femme|shopping|vêtements|vêtements de femme
👛	porte-monnaie	accessoire|courses|monnaie|porte-monnaie|sac à main|shopping|vêtements
👜	sac à main	accessoire|courses|sac|sac à main|shopping|vêtements
👝	pochette	accessoire|pochette|sac|sac à main|trousse|vêtements
👞	chaussure d’homme	accessoire|chaussure|chaussure d’homme|coup de pied|courses|homme|marron|pied|shopping|vêtements
👟	chaussure de sport	accessoire|athlétisme|basket|chaussure|chaussure de sport|coup de pied|courir|courses|shopping|tennis|vêtements|vite
👠	chaussure à talon haut	accessoire|chaussure|chaussure à talon|chaussure à talon haut|chaussure de femme|courses|mode|shopping|stilletto|talon aiguille|talon haut|vêtements
👡	sandale de femme	chaussure|chaussure à talon|chaussure de femme|femme|sandale|sandale de femme|talon haut|vêtements
👢	botte de femme	accessoire|botte|botte de femme|chaussure|courses|femme|shopping|vêtements
👣	traces de pas	empreintes|pied|pieds|pieds nus|traces de pas
👤	silhouette de buste	buste|mystère|ombre|silhouette de buste
👥	silhouettes de bustes	amis|bff|bustes|gens|meilleur ami|meilleure amie|meilleures amies|meilleurs amis|personnes|silhouettes|silhouettes de bustes|tout le monde
👦	garçon	émoticône|enfant|garçon|jeune|personne
👧	fille	couettes|émoticône|enfant|fille|grands yeux|jeune|nattes|personne|petite fille|tresses|vierge|visage|zodiaque
👨	homme	ami|garçon|homme|personne|petit ami|pote
👨‍🌾	fermier	agriculteur|fermier|homme|jardinier|métier
👨‍🍳	cuisinier	chef|cuisinier|homme|métier
👨‍🍼	homme allaitant un bébé	allaitement|bébé|biberon|homme|homme allaitant un bébé|nouveau-né|papa|père|personne
👨‍🎓	étudiant	diplômé|étudiant|homme
👨‍🎤	chanteur	acteur|artiste|chanteur|homme|métier|rock|rockeur|star
👨‍🎨	artiste homme	artiste|homme|métier|palette|peintre
👨‍🏫	enseignant	enseignant|homme|instituteur|instructeur|métier|professeur
👨‍🏭	ouvrier	assemblage|homme|industrie|métier|montage|ouvrier|usine
👨‍💻	informaticien	codeur|développeur|homme|informaticien|inventeur|logiciels|métier|technologie
👨‍💼	employé de bureau	affaires|architecte|bureau|cadre|directeur|employé de bureau|homme|métier
👨‍🔧	mécanicien	électricien|homme|mécanicien|mécanique|métier|ouvrier|plombier
👨‍🔬	scientifique homme	biologiste|chimiste|homme|ingénieur|mathématicien|métier|physicien|scientifique
👨‍🚀	astronaute homme	astronaute|casque|cosmonaute|espace|fusée|homme|métier|spationaute
👨‍🚒	pompier homme	camion de pompiers|casque|casque de pompier|homme|métier|pompier
👨‍🦯	homme avec canne blanche	accessibilité|aveugle|déficient visuel|handicap|handicap visuel|homme|homme avec canne blanche|malvoyant
👨‍🦼	homme en fauteuil motorisé	accessibilité|fauteuil roulant|handicap|homme|homme en fauteuil motorisé
👨‍🦽	homme en fauteuil roulant manuel	accessibilité|fauteuil roulant|handicap|homme|homme en fauteuil roulant manuel
👩	femme	blonde|coupe de cheveux|femme|personne
👩‍🌾	fermière	agricultrice|femme|fermière|jardinière|métier
👩‍🍳	cuisinière	chef|cuisinière|femme|métier
👩‍🍼	femme allaitant un bébé	allaitement|bébé|biberon|femme|femme allaitant un bébé|maman|mère|nounou|nouveau-né|personne
👩‍🎓	étudiante	diplômée|étudiante|femme
👩‍🎤	chanteuse	actrice|artiste|chanteuse|femme|métier|rock|rockeuse|star
👩‍🎨	artiste femme	artiste|femme|métier|palette|peintre
👩‍🏫	enseignante	enseignante|femme|institutrice|instructrice|professeure
👩‍🏭	ouvrière	assemblage|femme|industrie|métier|montage|ouvrière|usine
👩‍💻	informaticienne	codeuse|développeuse|femme|informaticienne|inventrice|logiciels|métier|technologie
👩‍💼	employée de bureau	affaires|architecte|bureau|cadre|directrice|employée de bureau|femme|métier
👩‍🔧	mécanicienne	électricienne|femme|mécanicienne|mécanique|métier|ouvrière|plombier
👩‍🔬	scientifique femme	biologiste|chimiste|femme|ingénieure|mathématicienne|métier|physicienne|scientifique
👩‍🚀	astronaute femme	astronaute|casque|cosmonaute|espace|femme|fusée|métier|spationaute
👩‍🚒	pompier femme	camion de pompiers|casque|femme|métier|pompier
👩‍🦯	femme avec canne blanche	accessibilité|aveugle|déficiente visuelle|femme|femme avec canne blanche|handicap|malvoyante
👩‍🦼	femme en fauteuil motorisé	accessibilité|fauteuil roulant|femme|femme en fauteuil motorisé|handicap
👩‍🦽	femme en fauteuil roulant manuel	accessibilité|fauteuil roulant|femme|femme en fauteuil roulant manuel|handicap
👪	famille	enfant|famille|famille avec un père, une mère et un fils|femme|fils|garçon|homme|mère|père
👫	femme et homme se tenant la main	amis|amoureux|couple|femme|femme et homme se tenant la main|homme|homme et femme se donnant la main|main dans la main|petit ami|petite amie|rendez-vous
👬	deux hommes se tenant la main	amis|amitié|amoureux|couple|deux hommes se donnant la main|deux hommes se tenant la main|fils|frères|gay|Gémeaux|hommes|homosexuels|jumeaux|LGBT|main dans la main|meilleurs amis|petit ami|rendez-vous|zodiaque
👭	deux femmes se tenant la main	amies|amitié|amoureuses|couple|deux femmes se donnant la main|deux femmes se tenant la main|femmes|filles|gay|homosexuelles|jumelles|lesbiennes|LGBT|LGBTQ|LGBTQIA|main dans la main|meilleures amies|petite amie|rendez-vous|sœurs
👮	officier de police	autorité|flic|homme|loi|métier|officier|officier de police|personne|police|policier|tenue|uniforme
👯	personnes avec des oreilles de lapin	amies|bunny|danseuse|déguisement|double|femme|femmes|fête|fille|filles|jumelles|oreilles de lapin|personnes avec des oreilles de lapin|synchro
👰	personne mariée avec voile	mariage|mariée|mariée avec voile|personne mariée avec voile|voile
👱	personne blonde	blond|cheveux|garçon|homme|humain|personne blonde|tête|visage
👲	homme avec casquette chinoise	casquette mao|chapeau|homme|homme avec casquette chinoise
👳	personne en turban	homme avec turban|oriental|personne avec turban|personne en turban|turban|visage
👴	homme âgé	âgé|chauve|émoticône|grand-père|homme|papi|personne|personne âgée|sage|vieux monsieur
👵	femme âgée	âgée|blonde|dame|émoticône|femme|grand-mère|mamie|personne|sage
👶	bébé	bébé|émoticône|enceinte|enfant|nouveau-né|petit
👷	personnel du bâtiment	bâtiment|BTP|casque|chantier|construction|homme|métier|ouvrier|personne|personnel du bâtiment|réparer
👸	princesse	conte de fées|couronne|fantastique|personne|princesse|reine
👹	ogre	créature|effrayant|fantastique|japonais|masque|monstre|ogre
👺	monstre japonais	colère|créature|fantastique|farfadet|japonais|masque|méchant|monstre
👻	fantôme	blague|bouh|créature|effrayant|fantastique|fantôme|Halloween|hanter|monstre|peur|visage|visage de fantôme
👼	bébé ange	ailes|ange|auréole|bébé|église|émoticône|fantastique|visage
👽	alien	alien|créature|émoticône|espace|extraterrestre|monstre|ovni|science-fiction|visage
👾	monstre de l’espace	alien|créature|envahisseur|espace|extraterrestre|fantastique|jeu vidéo|monstre|monstre de l’espace|ovni|pixels
👿	visage en colère avec des cornes	démon|diable|diablotin|émoticône|fantastique|malicieux|mauvais|visage|visage en colère avec des cornes
💀	crâne	corps|crâne|dead|fantastique|je suis mort|mort|squelette|tête de mort|visage|yolo
💁	personne paume vers le haut	aide|diva|femme|information|insouciante|main|personne|personne paume vers le haut|peu importe|potins|prétentieuse|sarcastique|sophistiqué
💂	garde	Buckingham Palace|casque|garde|garde homme|Londres
💃	danseuse	danse|danseuse|femme|femme qui danse|fête|flamenco|rythme|salsa|sortir danser|tango
💄	rouge à lèvres	cosmétiques|maquillage|rendez-vous|rouge à lèvres
💅	vernis à ongles	cosmétiques|manucure|maquillage|peu importe|s’ennuyer|vernis à ongles
💆	personne qui se fait masser	détente|femme qui se fait masser|fermer les yeux|massage|personne qui se fait masser|relaxation|repos|salon|tête|thérapie|visage|zen
💇	personne qui se fait couper les cheveux	barbier|beauté|cheveux|ciseaux|coiffure|coupe de cheveux|couper|femme qui se fait couper les cheveux|personne|personne qui se fait couper les cheveux|salon|style
💈	enseigne de barbier	barbier|coiffeur|coiffure|enseigne|enseigne de barbier|salon
💉	seringue	aiguille|docteur|malade|médecine|piqûre|seringue|vaccin|vaccination
💊	pilule	docteur|gélule|malade|médecine|médicament|pilule|vitamines
💋	trace de rouge à lèvres	baiser|bise|bisou|bouche|embrasser|lèvres|rendez-vous|rouge|sexy|trace de rouge à lèvres
💌	lettre d’amour	amour|cœur|lettre|lettre d’amour|Saint-Valentin
💍	bague	alliance|amour|bague|brillant|diamant|étincelant|fiançailles|mariage|solitaire
💎	pierre précieuse	argent|bijou|diamant|fiançailles|joyau|mariage|pierre précieuse|romantique
💏	bisou	amour|anniversaire|baiser|bisou|couple|femme|homme
💐	bouquet	amoureux|anniversaire|bouquet|fleur|fleurs|plante|rendez-vous|roses
💑	couple avec cœur	amour|anniversaire|cœur|couple|couple avec cœur|femme|homme|rendez-vous
💒	mariage	amour|chapelle|cœur|église|mariage
💓	cœur battant	amour|cardio|cœur|cœur battant|cœur qui bat|pulsations|sentiment
💔	cœur brisé	amour|cœur|cœur brisé|malheureux|sentiment|séparé|triste
💕	deux cœurs	amour|anniversaire|cœurs|deux cœurs|deux cœurs roses|petits cœurs|rendez-vous|sentiment
💖	cœur étincelant	amour|cœur|cœur étincelant|étincelles|sentiment
💗	cœur grandissant	amour|cœur|cœur battant|cœur grandissant|cœur qui bat|pulsations|sentiment
💘	cœur et flèche	amour|cœur|cœur et flèche|coeur transpercé|Cupidon|flèche|sentiment
💙	cœur bleu	amour|cœur|cœur bleu|sentiment
💚	cœur vert	amour|cœur|sentiment|vert
💛	cœur jaune	amour|cœur|cœur jaune|sentiment
💜	cœur violet	amour|cœur|sentiment|violet
💝	cœur avec ruban	amour|anniversaire|cœur|cœur avec ruban|ruban|Saint-Valentin|sentiment
💞	cœurs qui tournent	amour|anniversaire|cœurs|cœurs qui tournent|deux cœurs|sentiment|tourbillon
💟	décoration avec cœur	amour|cœur|cœur blanc|cœur décoré|cœur violet|décoration avec cœur|sentiment
💠	diamant avec un point	bande dessinée|BD|dessin|diamant|diamant avec un point|géométrie|géométrique|intérieur
💡	ampoule	allumer|ampoule|bande dessinée|BD|dessin|idée|lampe|lumière
💢	symbole de colère	bande dessinée|BD|colère|dessin|furieux|symbole de colère
💣	bombe	bande dessinée|BD|bombe|boum|danger|dessin|explosion
💤	endormi	bande dessinée|BD|bonne nuit|dormir|endormi|fatigué|ronfler|zzz
💥	explosion	bande dessinée|BD|bombe|boum|collision|détonation|étincelles|explosion
💦	gouttes de sueur	bande dessinée|BD|eau|éclabousser|éclaboussures|effort|entraînement|gouttes|gouttes de sueur|sueur
💧	goutte d’eau	BD|eau|froid|goutte|goutte d’eau|larme|météo|nature|pluie|sueurs froides|tristesse
💨	décamper	bande dessinée|BD|décamper|déguerpir|détaler|filer|fumée|nuage|partir en courant|pet|vent|vite
💩	tas de crotte	bande dessinée|BD|caca|crotte|dessin|excrément|odeur|popo|puer|sentir mauvais|tas de crotte|visage
💪	biceps contracté	bande dessinée|BD|biceps|bodybuilding|contracté|corps|culturisme|entraînement|exercice|force|haltérophilie|muscle|muscles|soulever
💫	étourdissement	bande dessinée|BD|étincelles|étoile|étoile filante|étourdissement|tournis|voir des étoiles
💬	bulle de parole	bande dessinée|BD|bulle|bulle de parole|dialogue|écrire|message|SMS
💭	bulle de pensée	bande dessinée|BD|bulle|bulle de pensée|idée|imaginer|inventer|invention|pensée|penser|rêve|rêver
💮	fleur blanche	fleur|fleur blanche
💯	cent points	100|cent|cent points|score
💰	sac plein d’argent	argent|avare|banque|dollar|parier|payer|sac|sac d’argent|sac plein d’argent
💱	conversion de devise	argent|banque|change|conversion|conversion de devise|devise
💲	symbole dollar	argent|devise|dollar|espèces|payer|symbole dollar
💳	carte bancaire	argent|bancaire|banque|carte|carte de crédit|payer
💴	billet en yens	argent|billet|billet de banque|billet en yens|payer|yens
💵	billet en dollars	argent|billet|billet de banque|billet en dollars|dollar|payer
💶	billet en euros	argent|billet|billet de banque|billet en euros|euros|payer
💷	billet en livres	argent|billet|billet de banque|billet en livres|livres|payer
💸	billet avec des ailes	ailes|argent|billet|billet avec des ailes|billet de banque|dollars|payer
💹	courbe avec yen en hausse	banque|courbe avec yen en hausse|croissance|devise|graphique|hausse|marché|monnaie|tendance|yen
💺	siège	chaise|fauteuil|place|siège
💻	ordinateur portable	bureau|ordinateur|ordinateur portable|travail
💼	porte-documents	accessoire|bureau|cartable|porte-documents
💽	disque d’ordinateur	disque|disque d’ordinateur|minidisc
💾	disquette	disque|disquette|informatique|ordinateur
💿	CD	blu-ray|CD|disque|DVD
📀	DVD	blu-ray|CD|disque|DVD
📁	dossier	dossier|fichier|répertoire
📂	dossier ouvert	dossier|dossier ouvert|ouvrir|ouvrir le dossier|répertoire
📃	page enroulée	document|page|page enroulée
📄	page	document|page
📅	calendrier	calendrier|date
📆	éphéméride	agenda|calendrier|date|éphéméride|planning
📇	carnet d’adresses	carnet d’adresses|carte|fiche|index|rolodex|vintage
📈	graphique en hausse	croissance|données|graphique|graphique en hausse|hausse|haut|tendance
📉	graphique en baisse	baisse|bas|chute|données|graphique|graphique en baisse|négatif|tendance
📊	graphiques à barres	données|graphique|graphiques à barres
📋	porte-bloc	fournitures|liste|porte-bloc|presse-papiers
📌	punaise	fournitures|punaise
📍	épingle	carte|emplacement|épingle|fournitures|punaise ronde
📎	trombone	fournitures|trombone
📏	règle	fournitures|mathématiques|règle|règle plate
📐	équerre	équerre|fournitures|mathématiques
📑	signets	marque|marqueur|onglets|signet|signets
📒	carnet de compte	cahier|carnet de compte|classeur|grand livre
📓	carnet	cahier|carnet|écrire
📔	carnet avec couverture	cahier|carnet|carnet avec couverture|école|écrire|livre
📕	livre fermé	apprendre|école|enseignement|lire|littérature|livre|livre fermé|livre rouge|manuel scolaire|savoir
📖	livre ouvert	apprendre|bibliothèque|école|enseignement|étudier|lecture|lire|littérature|livre ouvert|manuel scolaire|roman|savoir
📗	livre vert	apprendre|bibliothèque|école|enseignement|étudier|lecture|lire|littérature|livre|livre vert|manuel scolaire|savoir
📘	livre bleu	apprendre|école|éducation|lecture|lire|littérature|livre|livre bleu|manuel scolaire|roman
📙	livre orange	apprendre|école|éducation|lecture|lire|littérature|livre|livre orange|manuel scolaire|roman
📚	livres	apprendre|bibliothèque|école|enseignement|étudier|lecture|lire|littérature|livres|manuels scolaires|roman|savoir
📛	badge nominatif	badge|badge nominatif|nom
📜	parchemin	papier|parchemin
📝	mémo	bloc-notes|crayon|écrire|mémo
📞	combiné téléphonique	combiné téléphonique|communication|téléphone
📟	bipeur	bip|bipeur|communication|pager
📠	fax	communication|fax|télécopieur
📡	antenne satellite	antenne|antenne parabolique|parabole|satellite|science
📢	haut-parleur	communication|fort|haut-parleur|mégaphone|message|son
📣	porte-voix	encourager|hourra|manifestation|mégaphone|porte-voix
📤	boîte d’envoi	boîte d’envoi|courriel|courrier électronique|e-mail|envoyer|flèche|lettre|message|message électronique
📥	boîte de réception	boîte de réception|courriel|courrier électronique|e-mail|flèche|lettre|message|message électronique|recevoir
📦	colis	boîte|colis|livraison|paquet
📧	e-mail	courriel|courrier électronique|e-mail|lettre|message
📨	message reçu	courriel|courrier|courrier électronique|e-mail|enveloppe|envoyer|lettre|message|message électronique|message reçu|recevoir
📩	enveloppe avec flèche	communication|courriel|courrier électronique|e-mail|enveloppe|enveloppe avec flèche|envoi|envoyer|flèche|message|message électronique|message envoyé
📪	boîte aux lettres fermée drapeau baissé	boîte aux lettres|boîte aux lettres fermée drapeau baissé|courrier
📫	boîte aux lettres fermée drapeau levé	boîte aux lettres|boîte aux lettres fermée drapeau levé|courrier
📬	boîte aux lettres ouverte drapeau levé	boîte aux lettres|boîte aux lettres ouverte drapeau levé|courrier
📭	boîte aux lettres ouverte drapeau baissé	boîte aux lettres|boîte aux lettres ouverte drapeau baissé|courrier
📮	boîte aux lettres	boîte aux lettres|courrier|poste
📯	cor postal	cor de facteur|cor postal|facteur|poste
📰	journal	actualités|communication|gros titres|journal|presse|une
📱	téléphone portable	communication|smartphone|téléphone|téléphone portable
📲	appel entrant	appel|appel entrant|communication|recevoir un appel|smartphone|téléphone portable avec une flèche
📳	mode vibreur	communication|mode vibreur|portable|téléphone|vibreur
📴	téléphone éteint	éteindre|portable|téléphone|téléphone éteint
📵	téléphones portables interdits	interdiction|interdit|portable|téléphone|téléphones portables interdits
📶	barres de réseau	barres de réseau|communication|couverture|portable|réception|réseau|téléphone
📷	appareil photo	appareil photo|photo|selfie|vidéo
📸	appareil photo avec flash	appareil photo|appareil photo avec flash|flash
📹	caméscope	caméra|caméscope|filmer|vidéo
📺	téléviseur	petit écran|télé|téléviseur|télévision|TV
📻	radio	actualités|communication|loisirs|musique|radio|vidéo
📼	cassette vidéo	cassette vidéo|magnétoscope|vhs|vidéocassette|vintage
📿	chapelet	accessoire|chapelet|collier|perles|prière|religion|vêtements
🔀	bouton lecture aléatoire	bouton lecture aléatoire|flèche|flèches croisées|lecture aléatoire
🔁	bouton répétition	bouton répéter|bouton répétition|flèche|flèches en cercle|répéter|sens des aiguilles d’une montre|sens horaire
🔂	bouton répétition de la piste	bouton répétition de la piste|flèche|flèches en cercle avec n°1|répéter|répéter une fois|sens des aiguilles d’une montre|sens horaire
🔃	flèches dans le sens horaire	actualiser|flèche|flèches dans le sens horaire|sens des aiguilles d’une montre|sens horaire|symbole Recharger
🔄	flèches dans le sens antihoraire	actualiser|flèche|flèches|flèches dans le sens antihoraire|retour|sens antihoraire|sens contraire des aiguilles d’une montre|sens horaire inverse|sens inverse des aiguilles d’une montre
🔅	luminosité faible	brillance|lumière|luminosité|luminosité faible|soleil
🔆	luminosité élevée	brillance|lumière|luminosité|luminosité élevée|soleil
🔇	muet	chut|enceinte|haut-parleur barré|haut-parleur d’enceinte|muet|silence|son|sourdine
🔈	volume des enceintes faible	enceinte|haut-parleur|haut-parleur d’enceinte|son|volume bas|volume des enceintes faible
🔉	volume des enceintes moyen	enceinte|haut-parleur|haut-parleur d’enceinte|son|volume des enceintes moyen|volume moyen
🔊	volume des enceintes élevé	enceinte|fort|haut-parleur|haut-parleur d’enceinte|musique|son|volume des enceintes élevé|volume élevé
🔋	pile	pile
🔌	câble avec fiche électrique	branché|câble avec fiche électrique|électricité|prise|prise électrique
🔍	loupe orientée à gauche	agrandir|chercher|détective|loupe|loupe gauche|loupe orientée à gauche|recherche
🔎	loupe orientée à droite	agrandir|chercher|détective|loupe|loupe droite|loupe orientée à droite|recherche
🔏	cadenas fermé avec stylo	cadenas avec un stylo plume|cadenas fermé avec stylo|confidentiel|privé|stylo plume|verrouillé
🔐	cadenas fermé avec clé	cadenas|cadenas avec une clé|cadenas fermé avec clé|clé|fermé|privé|sécurisé|verrouillé
🔑	clé	clé|mot de passe|ouvrir|serrure
🔒	cadenas fermé	cadenas|cadenas fermé|privé|verrouillé|verrouiller
🔓	cadenas ouvert	cadenas|déverrouiller|ouvert|ouvrir
🔔	cloche	cloche|clochette|sonner
🔕	alarme désactivée	alarme désactivée|barrée|cloche|silence
🔖	marque-page	marque-page|marqueur|signet
🔗	chaînons	chaîne|chaînons|maillons|mousqueton
🔘	bouton radio	bouton|forme|géométrie|géométrique|radio|rond
🔙	flèche Retour	flèche|flèche vers la gauche|retour
🔚	flèche Fin	fin|flèche|flèche vers la gauche
🔛	flèche Activé	activé|droite et gauche|flèche|flèche dans les deux sens
🔜	flèche Bientôt	bientôt|flèche
🔝	flèche En haut	flèche|flèche En haut|flèche vers le haut|haut
🔞	18 ans et plus	18 ans et plus|dix-huit|interdiction|interdit|interdit aux mineurs|interdit aux moins de dix-huit ans|limite d’âge|majorité|mineur
🔠	majuscules	ABCD|alphabet latin|lettres|lettres latines|majuscules|saisie|saisie en lettres majuscules
🔡	minuscules	abcd|alphabet latin|lettre|lettres|lettres latines|minuscules|saisie|saisie de lettres minuscules
🔢	saisie de chiffres	1234|chiffres|saisie|saisie de chiffres
🔣	saisie de symboles	saisie|saisie de symboles|symboles
🔤	alphabet latin	abc|alphabet|alphabet latin|lettres|saisie|saisie de lettres
🔥	feu	allumer|brûler|chaud|feu|flamme|fournaise|incendie
🔦	torche	lampe électrique|lampe torche|lumière|outil|torche
🔧	clé à molette	clé|clé à molette|outil|travaux
🔨	marteau	marteau|outil|réparer|travaux
🔩	vis et écrou	boulon|écrou|outil|travaux|vis|vis et écrou
🔪	couteau de cuisine	arme|chef|couteau|couteau de cuisine|cuisine|outil
🔫	pistolet à eau	arme|arme à feu|flingue|pistolet|pistolet à eau|revolver
🔬	microscope	expérience|laboratoire|microscope|outil|science
🔭	télescope	astronomie|espace|outil|planètes|science|télescope
🔮	boule de cristal	avenir|boule de cristal|cristal|magie|voyant|voyante
🔯	étoile à 6 branches	chance|étoile|étoile à 6 branches|judaïsme|juif|juive
🔰	symbole japonais de débutant	chevron|chevron jaune et vert|débutant|symbole japonais|symbole japonais de débutant
🔱	trident	ancre|bateau|fourche|mer|Poséidon|trident
🔲	carré noir	bouton|carré|carré noir|forme|géométrie
🔳	carré blanc	bouton|carré|carré blanc|forme|géométrie
🔴	disque rouge	cercle|disque rouge|forme géométrique|géométrie|rond|rouge
🔵	disque bleu	bleu|cercle|disque bleu|forme géométrique|géométrie|rond
🔶	grand losange orange	forme géométrique|géométrie|grand losange orange|losange
🔷	grand losange bleu	forme géométrique|géométrie|grand losange bleu|grand losange orange|losange
🔸	petit losange orange	forme géométrique|géométrie|losange|petit losange orange
🔹	petit losange bleu	forme géométrique|géométrie|losange|petit losange bleu
🔺	triangle rouge pointant vers le haut	flèche|forme géométrique|géométrie|rouge|triangle haut|triangle rouge pointant vers le haut|triangle rouge pointé vers le haut
🔻	triangle rouge pointant vers le bas	bas|flèche|forme|géométrie|rouge|triangle bas|triangle rouge pointant vers le bas|triangle rouge pointé vers le bas
🔼	petit triangle haut	bouton haut|flèche|haut|petit triangle haut
🔽	petit triangle bas	bas|bouton bas|flèche|petit triangle bas
🕋	kaaba	islam|kaaba|Kaaba|musulman|musulmane|religion|voyage
🕌	mosquée	islam|mosquée|musulman|musulmane|religion|voyage
🕍	synagogue	judaïsme|juif|juive|religion|synagogue|temple|voyage
🕎	chandelier à sept branches	candélabre|chandelier|chandelier à sept branches|Hanoucca|Hanoukka|judaïsme|juif|juive|menora|menorah|religion
🕐	une heure	1 h|13 h|heure|horloge|treize heures|une heure
🕑	deux heures	14 h|2 h|deux heures|heure|horloge|quatorze heures
🕒	trois heures	15 h|3 h|heure|horloge|quinze heures|trois heures
🕓	quatre heures	16 h|4 h|quatre heures|seize heures
🕔	cinq heures	17 h|5 h|cinq heures|dix-sept heures|heure|horloge
🕕	six heures	18 h|6 h|dix-huit heures|heure|horloge|six heures
🕖	sept heures	19 h|7 h|dix-neuf heures|heure|horloge|sept heures
🕗	huit heures	20 h|8 h|heure|horloge|huit heures|vingt heures
🕘	neuf heures	21 h|9 h|neuf heures
🕙	dix heures	10 h|22 h|dix heures|heure|horloge|vingt-deux heures
🕚	onze heures	11 h|23 h|heure|horloge|onze heures|vingt-trois heures
🕛	midi/minuit	0 h|12 h|heure|horloge|midi|midi pile|midi/minuit|minuit|minuit pile
🕜	une heure et demie	1 h 30|13 h 30|heure|horloge|treize heures trente|une heure et demie
🕝	deux heures et demie	14 h 30|2 h 30|deux heures et demie|heure|horloge|quatorze heures trente
🕞	trois heures et demie	15 h 30|3 h 30|heure|horloge|quinze heures trente|trois heures et demie
🕟	quatre heures et demie	16 h 30|4 h 30|heure|horloge|quatre heures et demie|seize heures trente
🕠	cinq heures et demie	17 h 30|5 h 30|cinq heures et demie|dix-sept heures trente|heure|horloge
🕡	six heures et demie	18 h 30|6 h 30|dix-huit heures trente|heure|horloge|six heures et demie
🕢	sept heures et demie	19 h 30|7 h 30|dix-neuf heures trente|heure|horloge|sept heures et demie
🕣	huit heures et demie	20 h 30|8 h 30|heure|horloge|huit heures et demie|vingt heures trente
🕤	neuf heures et demie	21 h 30|9 h 30|heure|horloge|neuf heures et demie|vingt et une heures trente
🕥	dix heures et demie	10 h 30|22 h 30|dix heures et demie|heure|horloge|vingt-deux heures trente
🕦	onze heures et demie	11 h 30|23 h 30|heure|horloge|onze heures et demie|vingt-trois heures trente
🕧	midi/minuit et demie	00 h 30|12 h 30|heure|horloge|midi et demi|midi/minuit et demie|minuit et demi
🕺	danseur	danse|danseur|femme|fête|flamenco|homme|homme qui danse|rythme|salsa
🖕	doigt d’honneur	doigt|doigt d’honneur|main|majeur
🖖	salut vulcain	doigts|main|salut vulcain|Spock|Star Trek|vulcain
🖤	cœur noir	cœur|noir
🗻	mont Fuji	mont Fuji|montagne|nature|sommet|voyage
🗼	tour de Tokyo	Japon|Tokyo|tour|tour de Tokyo|voyage
🗽	statue de la Liberté	liberté|New York|statue|statue de la liberté|statue de la Liberté|voyage
🗾	carte du Japon	carte|carte du Japon|japon|voyage
🗿	moai	île de Pâques|moai|moaï|monolithe|statue|voyage
😀	visage rieur	content|dents|émoticône|grand sourire|heureux|joyeux|rire|sourire|super|visage|visage rieur|visage très souriant
😁	visage souriant aux yeux rieurs	content|dents|émoticône|grand sourire|heureux|sourire|sourire de toutes ses dents|super|visage|visage souriant aux yeux rieurs|visage souriant avec yeux souriants|yeux souriants
😂	visage riant aux larmes	content|émoticône|heureux|joie|larmes|lol|mdr|pleurer de joie|pleurer de rire|rire aux larmes|sourire|visage riant aux larmes
😃	visage souriant avec de grands yeux	content|dents|émoticône|formidable|grand sourire|heureux|sourire|super|visage souriant avec de grands yeux|visage très souriant avec la bouche ouverte
😄	visage très souriant aux yeux rieurs	content|émoticône|grand sourire|heureux|joyeux|lol|mdr|rire|sourire|sourire mignon|visage avec la bouche ouverte et les yeux souriants|visage très souriant aux yeux rieurs
😅	visage souriant avec une goutte de sueur	émoticône|excité|froid|goutte|sourire|sourire nerveux|stressé|sueur|sueurs froides|visage souriant avec une goutte de sueur
😆	visage souriant avec yeux plissés	ahah|bouche|content|émoticône|lol|mdr|rire|sourire|visage|visage souriant avec bouche ouverte et yeux fermés|visage souriant avec yeux plissés
😇	visage souriant avec auréole	ange|angélique|auréole|béni|Bible|émoticône|heureux|innocent|paix|sourire|spirituel|visage souriant avec auréole
😈	visage souriant avec des cornes	cornes|émoticône|fâché|fantastique|sourire|visage|visage souriant avec des cornes
😉	visage faisant un clin d’œil	blague|clin d’œil|émoticône|flirter|plaisanter|sexy|visage|visage faisant un clin d’œil
😊	visage souriant avec yeux rieurs	content|émoticône|heureux|œil|rougir|satisfait|sourire|visage|visage qui rougit|visage souriant avec yeux rieurs|visage souriant avec yeux souriants|yeux
😋	miam	bon|content|délicieux|émoticône|faim|heureux|langue|manger|miam|savourer|sourire|visage souriant qui tire la langue
😌	visage soulagé	calme|émoticône|sérénité|soulagement|visage|visage soulagé|zen
😍	visage souriant avec yeux en forme de cœur	amour|amoureux|cœur|émoticône|œil|romantique|sourire|visage|visage souriant avec yeux en forme de cœur|yeux
😎	visage avec lunettes de soleil	cool|lunettes de soleil|posé|tranquille|visage avec lunettes de soleil
😏	visage avec un sourire malin	arrogant|charmeur|émoticône|malin|ricaner|rusé|séducteur|sourire|sourire suffisant|suspicieux|visage avec un sourire malin|visage avec un sourire suffisant
😐	visage neutre	émoticône|gêné|neutre|ni chaud ni froid|pas drôle|peu importe|rester de marbre|sans commentaires|sans rire|visage neutre|visage sans expression
😑	visage sans expression	émoticône|inexpressif|mécontent|neutre|peu importe|sans expression|visage|visage sans expression
😒	visage blasé	bizarre|blasé|émoticône|énervé|fâché|jaloux|pas content|peu importe|visage|visage qui s’ennuie
😓	visage démoralisé avec goutte de sueur	émoticône|froide|mal de tête|migraine|mince|ouf|peur|sueur|triste|visage|visage démoralisé avec goutte de sueur|visage et sueurs froides
